id,name_en,name_de,name_es,category,force_type,mechanic,difficulty,equipment,body_part,primary_muscles,secondary_muscles,goals,tags,met,is_unilateral,is_bodyweight,description_en,instructions_en,image_flat_start,image_flat_peak,image_flat_main
ab-wheel-rollout,Ab Wheel Rollout,Bauchroller,Rueda Abdominal,strength,pull,compound,intermediate,ab_wheel,core,rectus_abdominis|transverse_abdominis,anterior_deltoid|latissimus_dorsi|obliques|serratus_anterior,hypertrophy|strength,core_focus,6.0,False,False,"A core exercise rolling a wheel forward and back, training anti-extension of the spine.","Kneel on the floor and grip the ab wheel handles shoulder-width. | Brace the core hard so the lower back stays neutral. | Roll the wheel slowly forward, extending the body as far as you can control. | Stop before the hips sag or the back arches. | Pull the wheel back to the knees by contracting the abs.",images/flat/ab-wheel-rollout-start.webp,images/flat/ab-wheel-rollout-peak.webp,
air-bike,Air Bike,Air Bike,Bicicleta de Aire,strength,push,compound,intermediate,air_bike,full_body,hamstrings|quadriceps,gluteus_maximus|latissimus_dorsi|pectoralis_major|rectus_abdominis,hypertrophy|strength,lower_back_safe|shoulder_safe|no_axial_load|knee_safe,6.0,False,False,"A full-body conditioning exercise on the air bike, combining pedaling with an arm push-pull for sustained power output.",Sit on the air bike and grip the moving handles. | Place your feet on the pedals and brace your core. | Push and pull the handles while pedaling at a steady pace. | Drive with both arms and legs to maintain power output. | Continue for the desired duration or distance.,,,images/flat/air-bike-main.webp
archer-pull-ups,Archer Pull Ups,Archer-Klimmzüge,Dominadas Arquero,strength,pull,compound,advanced,pull_up_bar,back,latissimus_dorsi,biceps_brachii|forearm_flexors|posterior_deltoid|rhomboids,hypertrophy|strength,knee_safe|no_axial_load|lower_back_safe|shoulder_safe,6.0,False,False,"A unilateral pull-up shifting the body toward one hand while the other arm stays straight, building single-arm pulling strength.",Grip the bar wider than shoulder width with palms facing away. | Pull yourself up while shifting your body toward one hand. | Keep the opposite arm straight as a support. | Lower yourself under control back to the hang. | Alternate sides each rep or complete reps on one side first.,images/flat/archer-pull-ups-start.webp,images/flat/archer-pull-ups-peak.webp,
archer-push-ups,Archer Push Ups,Archer-Liegestütze,Push-Ups Arquero,strength,push,compound,advanced,,chest,pectoralis_major,anterior_deltoid|rectus_abdominis|serratus_anterior|triceps_brachii,hypertrophy|strength,knee_safe|no_axial_load|lower_back_safe|shoulder_safe,5.0,False,True,"A wide push-up lowering toward one hand while the opposite arm stays straight, loading one side at a time.",Set up in a wide push-up position with arms straight. | Lower yourself toward one hand while keeping the other arm straight. | Keep your core tight and body in a straight line. | Press back up to the start position. | Alternate sides each rep for the desired number of reps.,images/flat/archer-push-ups-start.webp,images/flat/archer-push-ups-peak.webp,
arnold-press,Arnold Press,Arnold Press,Press Arnold,strength,push,compound,intermediate,dumbbell,shoulders,anterior_deltoid|lateral_deltoid,serratus_anterior|trapezius|triceps_brachii,hypertrophy|strength,knee_safe|lower_back_safe|no_axial_load,6.0,False,False,"An overhead press variation rotating the palms from facing the body to facing forward, working the front and side deltoids.",Hold a pair of dumbbells at shoulder height with palms facing you. | Press the dumbbells overhead while rotating your palms to face forward. | Fully extend your arms at the top without locking the elbows. | Reverse the motion and rotate back to the start. | Repeat for the desired number of reps.,images/flat/arnold-press-start.webp,images/flat/arnold-press-peak.webp,
assisted-dips,Machine Assisted Dips,Dips an der Assistenzmaschine,Fondos en Máquina Asistida,strength,push,compound,beginner,dip_machine,upper_arms,pectoralis_major|triceps_brachii,anterior_deltoid|rhomboids,hypertrophy|strength,knee_safe|no_axial_load|lower_back_safe,6.0,False,False,"A beginner-friendly dip performed on an assisted machine that offsets body weight, training the chest and triceps.",Step onto the assisted dip machine with knees on the pad. | Grip the parallel bars and support your weight with straight arms. | Lower your body by bending your elbows until shoulders are below elbows. | Press back up to the start position. | Repeat for the desired number of reps.,images/flat/assisted-dips-start.webp,images/flat/assisted-dips-peak.webp,
assisted-pull-ups,Assisted Pull Ups,Unterstützte Klimmzüge,Dominadas Asistidas,strength,pull,compound,beginner,assisted_pullup_machine,back,latissimus_dorsi,biceps_brachii|forearm_flexors|posterior_deltoid|rhomboids,hypertrophy|strength,knee_safe|no_axial_load|lower_back_safe|shoulder_safe,6.0,False,False,"A machine-assisted pull-up reducing the effective body weight, allowing beginners to train the lats through a full range.","Place your knees on the assisted pull-up machine pad. | Grip the bar with palms facing away, slightly wider than shoulders. | Pull your chest toward the bar by driving your elbows down. | Lower yourself under control to a full hang. | Repeat for the desired number of reps.",images/flat/assisted-pull-ups-start.webp,images/flat/assisted-pull-ups-peak.webp,
back-extension,Back Extension,Rückenstreckung,Extensión de Espalda,strength,pull,isolation,beginner,,back,erector_spinae,gluteus_maximus|hamstrings,hypertrophy|rehabilitation,leg_day|knee_safe|no_axial_load|lower_back_safe|shoulder_safe,3.5,False,True,An isolation movement targeting the lower back erector spinae on a hyperextension bench.,Lie face down on a hyperextension bench with hips at the pad edge. | Lower your upper body toward the floor. | Raise your torso back up until your body is straight. | Repeat.,images/flat/back-extension-start.webp,images/flat/back-extension-peak.webp,
ball-leg-curl,Stability Ball Leg Curl,Stability-Ball-Beinbeuger,Curl de Piernas con Pelota de Estabilidad,strength,pull,isolation,intermediate,stability_ball,upper_legs,hamstrings,gastrocnemius|gluteus_maximus,hypertrophy|strength,leg_day,5.0,False,False,"A bodyweight hamstring curl using a stability ball, rolling the heels toward the glutes while bridging the hips.","Lie face-up on the floor with your heels and lower calves on top of a stability ball, arms out for balance. | Press through the heels to raise your hips into a straight line from shoulders to ankles. | Keeping the hips up, bend the knees to roll the ball toward your glutes. | Extend the legs back out under control without dropping the hips. | Complete all reps, then lower the hips and step off the ball.",images/flat/ball-leg-curl-start.webp,images/flat/ball-leg-curl-peak.webp,
ball-pike,Ball Pike,Ball Pike,Pike con Pelota,strength,pull,compound,advanced,stability_ball,core,obliques|rectus_abdominis,anterior_deltoid|hip_flexors|serratus_anterior,hypertrophy|strength,core_focus,6.0,False,False,An advanced core exercise where the hips pike up while the feet roll a stability ball toward the chest.,"Place the shins on a stability ball and hands on the floor in a high plank. | Brace the core and keep the legs straight. | Pike the hips up, rolling the ball toward the chest as the body forms an inverted V. | Pause briefly at the top. | Roll the ball back out to the starting plank.",images/flat/ball-pike-start.webp,images/flat/ball-pike-peak.webp,
